prod_name,Collection,supplier,brand,color,pattern,category,link,image,cat_name,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes,floral
YW1405,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BLUE,GOLD,Stock Bridge,#,/images/stock_bridge/YW1405.jpg,stockbridge,,,,,,TRADITIONAL,DAMASKS,,,,,,
YW1420,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BLUE,GOLD,Stock Bridge,#,/images/stock_bridge/YW1420.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES,
YW1409,STOCKBRIDGE,YORK,PARK PLACE STUDIO,WHITE,GOLD,Stock Bridge,#,/images/stock_bridge/YW1409.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1412,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BLUE,GOLD,Stock Bridge,#,/images/stock_bridge/YW1412.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1411,STOCKBRIDGE,YORK,PARK PLACE STUDIO,MUSTARD,GOLD,Stock Bridge,#,/images/stock_bridge/YW1411.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1497,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,BLUE,Stock Bridge,#,/images/stock_bridge/YW1497.jpg,stockbridge,,,,,,TRADITIONAL,DAMASKS,,,,,,
YW1490,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,NA,Stock Bridge,#,/images/stock_bridge/YW1490.jpg,stockbridge,,TEXTURE,,,,,,,,,,,
YW1489,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,BLUE,Stock Bridge,#,/images/stock_bridge/YW1489.jpg,stockbridge,,TEXTURE,,,,,,,,,,,
YW1505,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GOLD,BLUE,Stock Bridge,#,/images/stock_bridge/YW1505.jpg,stockbridge,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,STRIPES,
YW1443,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,NA,Stock Bridge,#,/images/stock_bridge/YW1443.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1448,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,WHITE,Stock Bridge,#,/images/stock_bridge/YW1448.jpg,stockbridge,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
YW1456,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,GREEN,Stock Bridge,#,/images/stock_bridge/YW1456.jpg,stockbridge,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
YW1446,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,BLUE,Stock Bridge,#,/images/stock_bridge/YW1446.jpg,stockbridge,,TEXTURE,,,,,,,,,,,
YW1464,STOCKBRIDGE,YORK,PARK PLACE STUDIO,WHITE,BLUE,Stock Bridge,#,/images/stock_bridge/YW1464.jpg,stockbridge,,,GEOMETRIC,,CONTEMPORARY,TRADITIONAL,,,,,,,
YW1428,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BLUE,GREY,Stock Bridge,#,/images/stock_bridge/YW1428.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,DAMASKS,,,,,,
YW1442,STOCKBRIDGE,YORK,PARK PLACE STUDIO,SILVER,NA,Stock Bridge,#,/images/stock_bridge/YW1442.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1436,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BLUE,GREY,Stock Bridge,#,/images/stock_bridge/YW1436.jpg,stockbridge,,,GEOMETRIC,PATTERN,,TRADITIONAL,,,,,,,
YW1475,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREEN,WHITE,Stock Bridge,#,/images/stock_bridge/YW1475.jpg,stockbridge,,,,,CONTEMPORARY,TRADITIONAL,DAMASKS,,,,,STRIPES,
YW1483,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREEN,WHITE,Stock Bridge,#,/images/stock_bridge/YW1483.jpg,stockbridge,,,,,CONTEMPORARY,,,,,,,STRIPES,
YW1498,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,BEIGE,Stock Bridge,#,/images/stock_bridge/YW1498.jpg,stockbridge,,,,,,TRADITIONAL,,,,,,,
YW1492,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,NA,Stock Bridge,#,/images/stock_bridge/YW1492.jpg,stockbridge,,TEXTURE,,,,,,,,,,,
YW1506,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,BEIGE,Stock Bridge,#,/images/stock_bridge/YW1506.jpg,stockbridge,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,STRIPES,
YW1460,STOCKBRIDGE,YORK,PARK PLACE STUDIO,WHITE,PINK,Stock Bridge,#,/images/stock_bridge/YW1460.jpg,stockbridge,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
YW1437,STOCKBRIDGE,YORK,PARK PLACE STUDIO,WHITE,BLUE,Stock Bridge,#,/images/stock_bridge/YW1437.jpg,stockbridge,,TEXTURE,,,,,,,,,,,
YW1468,STOCKBRIDGE,YORK,PARK PLACE STUDIO,WHITE,PINK,Stock Bridge,#,/images/stock_bridge/YW1468.jpg,stockbridge,,,GEOMETRIC,PATTERN,CONTEMPORARY,TRADITIONAL,,,,,,,
YW1444,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,WHITE,Stock Bridge,#,/images/stock_bridge/YW1444.jpg,stockbridge,,TEXTURE,,,,,,,,,,,
YW1449,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,WHITE,Stock Bridge,#,/images/stock_bridge/YW1449.jpg,stockbridge,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,,
YW1473,STOCKBRIDGE,YORK,PARK PLACE STUDIO,PINK,BEIGE,Stock Bridge,#,/images/stock_bridge/YW1473.jpg,stockbridge,,,,,,TRADITIONAL,DAMASKS,,,,,STRIPES,
YW1481,STOCKBRIDGE,YORK,PARK PLACE STUDIO,PINK,GOLD,Stock Bridge,#,/images/stock_bridge/YW1481.jpg,stockbridge,,,,,,,,,,,,STRIPES,
YW1499,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,PINK,Stock Bridge,#,/images/stock_bridge/YW1499.jpg,stockbridge,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
YW1491,STOCKBRIDGE,YORK,PARK PLACE STUDIO,PINK,NA,Stock Bridge,#,/images/stock_bridge/YW1491.jpg,stockbridge,,TEXTURE,,,,,,,,,,,
YW1507,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,PINK,Stock Bridge,#,/images/stock_bridge/YW1507.jpg,stockbridge,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,STRIPES,
YW1401,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GOLD,WHITE,Stock Bridge,#,/images/stock_bridge/YW1401.jpg,stockbridge,,TEXTURE,,,,TRADITIONAL,DAMASKS,,,,,,
YW1417,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GOLD,WHITE,Stock Bridge,#,/images/stock_bridge/YW1417.jpg,stockbridge,,TEXTURE,,,,,,,,,,STRIPES,
YW1458,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,PINK,Stock Bridge,#,/images/stock_bridge/YW1458.jpg,stockbridge,,TEXTURE,,PATTERN,,,,,,,,,FLORAL
YW1439,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,GOLD,Stock Bridge,#,/images/stock_bridge/YW1439.jpg,stockbridge,,TEXTURE,,,,,,,,,,,
YW1466,STOCKBRIDGE,YORK,PARK PLACE STUDIO,WHITE,PINK,Stock Bridge,#,/images/stock_bridge/YW1466.jpg,stockbridge,,,GEOMETRIC,PATTERN,CONTEMPORARY,TRADITIONAL,,,,,,,
YW1441,STOCKBRIDGE,YORK,PARK PLACE STUDIO,SILVER,NA,Stock Bridge,#,/images/stock_bridge/YW1441.jpg,stockbridge,,TEXTURE,,,,,,,,,,,
YW1435,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,GREY,Stock Bridge,#,/images/stock_bridge/YW1435.jpg,stockbridge,,TEXTURE,GEOMETRIC,PATTERN,,TRADITIONAL,,,,,,,
YW1427,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,GREY,Stock Bridge,#,/images/stock_bridge/YW1427.jpg,stockbridge,,TEXTURE,,,,TRADITIONAL,DAMASKS,,,,,,
YW1400,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BLACK,BEIGE,Stock Bridge,#,/images/stock_bridge/YW1400.jpg,stockbridge,,,,,,TRADITIONAL,DAMASKS,,,,,,
YW1408,STOCKBRIDGE,YORK,PARK PLACE STUDIO,SILVER,NA,Stock Bridge,#,/images/stock_bridge/YW1408.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1416,STOCKBRIDGE,YORK,PARK PLACE STUDIO,SILVER,BLACK,Stock Bridge,#,/images/stock_bridge/YW1416.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES,
YW1500,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,WHITE,Stock Bridge,#,/images/stock_bridge/YW1500.jpg,stockbridge,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
YW1494,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,NA,Stock Bridge,#,/images/stock_bridge/YW1494.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1508,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,WHITE,Stock Bridge,#,/images/stock_bridge/YW1508.jpg,stockbridge,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,STRIPES,
YW1451,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,GOLD,Stock Bridge,#,/images/stock_bridge/YW1451.jpg,stockbridge,,TEXTURE,,PATTERN,CONTEMPORARY,TRADITIONAL,DAMASKS,,,,,,
YW1445,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,GOLD,Stock Bridge,#,/images/stock_bridge/YW1445.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1476,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,SILVER,Stock Bridge,#,/images/stock_bridge/YW1476.jpg,stockbridge,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
YW1493,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BLUE,GOLD,Stock Bridge,#,/images/stock_bridge/YW1493.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES,
YW1424,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,GOLD,Stock Bridge,#,/images/stock_bridge/YW1424.jpg,stockbridge,,,,,CONTEMPORARY,,,,,,,STRIPES,
YW1432,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,BEIGE,Stock Bridge,#,/images/stock_bridge/YW1432.jpg,stockbridge,,TEXTURE,,PATTERN,CONTEMPORARY,TRADITIONAL,,,,,,,
YW1403,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,GOLD,Stock Bridge,#,/images/stock_bridge/YW1403.jpg,stockbridge,,TEXTURE,,,,TRADITIONAL,DAMASKS,,,,,,
YW1410,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,GOLD,Stock Bridge,#,/images/stock_bridge/YW1410.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1419,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,GOLD,Stock Bridge,#,/images/stock_bridge/YW1419.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES,
YW1472,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,WHITE,Stock Bridge,#,/images/stock_bridge/YW1472.jpg,stockbridge,,,,PATTERN,CONTEMPORARY,TRADITIONAL,DAMASKS,,,,,STRIPES,
YW1480,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,GOLD,Stock Bridge,#,/images/stock_bridge/YW1480.jpg,stockbridge,,,,,CONTEMPORARY,,,,,,,STRIPES,
YW1426,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,NA,Stock Bridge,#,/images/stock_bridge/YW1426.jpg,stockbridge,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
YW1440,STOCKBRIDGE,YORK,PARK PLACE STUDIO,SILVER,NA,Stock Bridge,#,/images/stock_bridge/YW1440.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1434,STOCKBRIDGE,YORK,PARK PLACE STUDIO,SILVER,WHITE,Stock Bridge,#,/images/stock_bridge/YW1434.jpg,stockbridge,,TEXTURE,,PATTERN,CONTEMPORARY,TRADITIONAL,DAMASKS,,,,,,
YW1465,STOCKBRIDGE,YORK,PARK PLACE STUDIO,WHITE,GREY,Stock Bridge,#,/images/stock_bridge/YW1465.jpg,stockbridge,,,GEOMETRIC,PATTERN,CONTEMPORARY,TRADITIONAL,,,,,,,
YW1447,STOCKBRIDGE,YORK,PARK PLACE STUDIO,WHITE,GREY,Stock Bridge,#,/images/stock_bridge/YW1447.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1457,STOCKBRIDGE,YORK,PARK PLACE STUDIO,WHITE,BEIGE,Stock Bridge,#,/images/stock_bridge/YW1457.jpg,stockbridge,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
YW1438,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BROWN,BEIGE,Stock Bridge,#,/images/stock_bridge/YW1438.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1450,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GOLD,BEIGE,Stock Bridge,#,/images/stock_bridge/YW1450.jpg,stockbridge,,TEXTURE,,,,TRADITIONAL,DAMASKS,,,,,,
YW1482,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,PINK,Stock Bridge,#,/images/stock_bridge/YW1482.jpg,stockbridge,,,,,CONTEMPORARY,,,,,,,STRIPES,
YW1474,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,PINK,Stock Bridge,#,/images/stock_bridge/YW1474.jpg,stockbridge,,,,,CONTEMPORARY,TRADITIONAL,DAMASKS,,,,,STRIPES,
YW1425,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,WHITE,Stock Bridge,#,/images/stock_bridge/YW1425.jpg,stockbridge,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,,
YW1433,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BEIGE,WHITE,Stock Bridge,#,/images/stock_bridge/YW1433.jpg,stockbridge,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,,
YW1404,STOCKBRIDGE,YORK,PARK PLACE STUDIO,MUSTARD,SILVER,Stock Bridge,#,/images/stock_bridge/YW1404.jpg,stockbridge,,TEXTURE,,,,TRADITIONAL,DAMASKS,,,,,,
YW1418,STOCKBRIDGE,YORK,PARK PLACE STUDIO,MUSTARD,SILVER,Stock Bridge,#,/images/stock_bridge/YW1418.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES,
YW1496,STOCKBRIDGE,YORK,PARK PLACE STUDIO,MUSTARD,GOLD,Stock Bridge,#,/images/stock_bridge/YW1496.jpg,stockbridge,,,,PATTERN,,TRADITIONAL,,,,,,,
YW1488,STOCKBRIDGE,YORK,PARK PLACE STUDIO,RED,BEIGE,Stock Bridge,#,/images/stock_bridge/YW1488.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,,
YW1504,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GREY,PINK,Stock Bridge,#,/images/stock_bridge/YW1504.jpg,stockbridge,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,STRIPES,
YW1421,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GOLD,RED,Stock Bridge,#,/images/stock_bridge/YW1421.jpg,stockbridge,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES,
YW1402,STOCKBRIDGE,YORK,PARK PLACE STUDIO,GOLD,RED,Stock Bridge,#,/images/stock_bridge/YW1402.jpg,stockbridge,,TEXTURE,,,,TRADITIONAL,DAMASKS,,,,,,
YW1459,STOCKBRIDGE,YORK,PARK PLACE STUDIO,BROWN,BEIGE,Stock Bridge,#,/images/stock_bridge/YW1459.jpg,stockbridge,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
YW1467,STOCKBRIDGE,YORK,PARK PLACE STUDIO,RED,WHITE,Stock Bridge,#,/images/stock_bridge/YW1467.jpg,stockbridge,,,GEOMETRIC,PATTERN,CONTEMPORARY,TRADITIONAL,,,,,,,
