cat_name,images,rs_video,rs_text
stockbridge,YW1400 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
stockbridge,YW1405 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
stockbridge,YW1427 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
stockbridge,YW1450 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
stockbridge,YW1457 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
stockbridge,YW1464 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
stockbridge,YW1475 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
stockbridge,YW1498 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
unplugged,UN1101-ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
unplugged,UN1203-ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
unplugged,UN1204-ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
unplugged,UN2001&UN4001-ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
unplugged,UN3002-ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
unplugged,UN3003-ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
unplugged,UN3105-ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
unplugged,UN3204-ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
unplugged,UN3301-ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
unplugged,UN3303-ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
unplugged,UN4005-ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
unplugged,UN4006 &UN1003-ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
unplugged,UN4006&UN3106-ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
unplugged,UN4007ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
silverleaf,SL5604 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
silverleaf,SL5613 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
silverleaf,SL5624 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
silverleaf,SL5627 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
silverleaf,SL5668 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
silverleaf,SL5675 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
silverleaf,SL5682 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
silverleaf,SL5688 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
silverleaf,SL5699 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
silverleaf,SL5704 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
silverleaf,SL5712 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
silverleaf,SL5724 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
bns,SB3149 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
bns,SB3155 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
bns,SB7388 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
bns,SB7509 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
bns,SB7540 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
bns,SB7573 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
bns,SB7634 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
bns,SB7665 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
bns,SB7671 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
bns,SB7687 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
bns,SB7694 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
bns,SB7714 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
bns,SB7720 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
bns,SB7736 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
bns,SB7763 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
bns,SB7791 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
damasks,DD8305 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
damasks,DD8315 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
damasks,DD8324 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
damasks,DD8349 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
damasks,DD8376 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
damasks,DD8399 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
damasks,DD8411 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
damasks,DD8425 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
damasks,DD8435 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
damasks,DD8444 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
damasks,DD8454 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
damasks,DD8457 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
dorado,Y6130702 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
dorado,Y6130302 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
dorado,Y6130502 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
dorado,Y6130801 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
dorado,Y6131001 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
dorado,Y6131304 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
villa_borghese,VB1001 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
villa_borghese,VB1002 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
villa_borghese,VB1008 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
villa_borghese,VB1102 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
villa_borghese,VB2010 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
villa_borghese,VB3005 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
villa_borghese,VB3010 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
villa_borghese,VB3201 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
villa_borghese,VB3204 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
villa_borghese,VB3205 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
villa_borghese,VB3302 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
villa_borghese,VB4002 ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
villagepeople,VP1101ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
villagepeople,VP1203ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
villagepeople,VP2003ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
villagepeople,VP1105ROOMSHOT,https://www.youtube.com/embed/-TfqEIhI9sU,"Honest. Neat. Precise. Familiar shapes combine with artistic styling to create elegant, unpretentious designs. Timeless. Versatile. Captivating."
